"cik","company.name","form.type","date.filed","nword.hits"
105016,"WATSCO INC","8-K","2018-03-19",1
1065598,"DigitalTown  Inc ","8-K","2018-05-21",3
1066923,"Future FinTech Group Inc ","8-K","2018-01-25",1
1081188,"GOLD ENTERTAINMENT GROUP INC","8-K","2018-07-02",1
1091418,"No Borders  Inc ","8-K","2018-03-20",3
1098343,"TURNER VALLEY OIL   GAS INC","8-K","2018-05-17",8
1098996,"ORANCO INC","8-K","2018-10-19",2
1130713,"OVERSTOCK COM  INC","8-K","2018-01-03",1
1138724,"Global Arena Holding  Inc ","8-K","2018-07-06",5
12239,"SPHERIX INC","8-K","2018-03-28",1
1276531,"SCIENTIFIC ENERGY INC","8-K","2018-01-24",2
1286345,"HPIL HOLDING","8-K","2018-03-29",1
1289419,"Morningstar  Inc ","8-K","2018-08-10",1
1290506,"ECOLOCAP SOLUTIONS INC ","8-K","2018-02-15",1
1314196,"OLB GROUP  INC ","8-K","2018-10-09",1
1355839,"PeerStream  Inc ","8-K","2018-03-22",1
1355839,"Snap Interactive  Inc","8-K","2018-01-17",1
1376321,"ChinaNet Online Holdings  Inc ","8-K","2018-01-11",1
1400732,"PACIFIC SOFTWARE  INC ","8-K","2018-04-13",1
1402737,"HCi Viocare","8-K","2018-01-31",2
1419275,"GreenBox POS  LLC","8-K","2018-09-21",1
1436229,"BTCS Inc ","8-K","2018-02-05",2
1437517,"ADVANCED CREDIT TECHNOLOGIES INC","8-K","2018-04-27",1
1449574,"Bravatek Solutions  Inc ","8-K","2018-01-05",1
1459482,"Chineseinvestors com  Inc ","8-K","2018-04-19",2
1471727,"Sport Endurance  Inc ","8-K","2018-03-14",30
1471781,"Gopher Protocol Inc ","8-K","2018-05-30",1
1483646,"BLACKSTAR ENTERPRISE GROUP  INC ","8-K","2018-03-02",1
1487843,"Yangtze River Port   Logistics Ltd","8-K","2018-02-14",1
1494162,"KinerjaPay Corp ","8-K","2018-01-12",2
1495231,"IZEA  Inc ","8-K","2018-01-16",1
1499961,"Net Element  Inc ","8-K","2018-01-02",1
1500122,"Noble Vici Group  Inc ","8-K","2018-08-08",32
1507605,"Marathon Patent Group  Inc ","8-K","2018-01-18",1
1515139,"AppCoin Innovations Inc ","8-K","2018-01-02",50
1515139,"ICOX INNOVATIONS INC ","8-K","2018-03-20",2
1523855,"Technovative Group  Inc ","8-K","2018-01-03",1
1527974,"Wellness Matrix Group  Inc ","8-K","2018-08-31",1
1555972,"STERLING CONSOLIDATED Corp","8-K","2018-02-02",6
1556266,"China Commercial Credit Inc","8-K","2018-02-20",1
1556801,"iMine Corp","8-K","2018-03-22",1
1575345,"BLACK CACTUS GLOBAL  INC ","8-K","2018-05-04",1
1575659,"Holly Brothers Pictures  Inc ","8-K","2018-02-02",9
1577882,"UA Granite Corp","8-K","2018-03-13",4
1580485,"Nodechain  Inc ","8-K","2018-01-24",2
1600347,"HotApp International  Inc ","8-K","2018-01-04",5
1605331,"AB INTERNATIONAL GROUP CORP ","8-K","2018-04-10",1
1606364,"GARMATEX HOLDINGS LTD ","8-K","2018-02-27",2
1610462,"Cabinet Grow  Inc ","8-K","2018-03-06",6
1614826,"Southeastern Holdings  Inc ","8-K","2018-08-29",5
1616156,"WEWARDS  INC ","8-K","2018-03-13",4
1619174,"Moms Online  Inc ","8-K","2018-03-15",4
1619174,"BLOCKHOLD CAPITAL CORP","8-K","2018-04-27",1
1619870,"National Art Exchange  Inc ","8-K","2018-07-30",1
1627811,"IEG Holdings Corp","8-K","2018-03-05",1
1627811,"Mr  Amazing Loans Corp","8-K","2018-06-13",15
1653710,"APEX RESOURCES INC NV","8-K","2018-06-22",1
1658304,"CLIC TECHNOLOGY  INC ","8-K","2018-05-11",6
1681400,"Celebiddy  Inc ","8-K","2018-02-23",2
1688126,"Crypto Co","8-K","2018-05-18",1
1707258,"Amesite Inc ","8-K","2018-05-02",2
1709477,"Shamrock Grove Acquisition Corp","8-K","2018-04-09",2
1709525,"Rose Grove Acquisition Corp","8-K","2018-04-09",2
1709587,"Aedan Financial Corp","8-K","2018-04-20",1
1725917,"Hidden Forest Acquisition Corp","8-K","2018-09-07",1
277905,"American Retail Group  Inc ","8-K","2018-05-15",8
310522,"FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE","8-K","2018-07-16",1
704172,"PHI GROUP INC","8-K","2018-02-05",2
708821,"PAR TECHNOLOGY CORP","8-K","2018-12-06",1
746515,"EXPEDITORS INTERNATIONAL OF WASHINGTON INC","8-K","2018-03-30",2
802257,"True Nature Holding  Inc ","8-K","2018-04-06",1
823546,"B4MC GOLD MINES INC","8-K","2018-06-29",107
825322,"MPHASE TECHNOLOGIES INC","8-K","2018-01-09",2
837852,"Seven Stars Cloud Group  Inc ","8-K","2018-10-24",1
844887,"DIAMONDHEAD CASINO CORP","8-K","2018-05-04",2
859747,"1PM Industries","8-K","2018-02-26",3
894871,"theMaven  Inc ","8-K","2018-02-05",3
896493,"DPW Holdings  Inc ","8-K","2018-03-09",2
949721,"Attis Industries Inc ","8-K","2018-06-01",1
1018164,"WILLIS LEASE FINANCE CORP","8-K","2019-02-20",1
1099568,"WeedClub  Inc ","8-K","2019-02-07",2
1301838,"Premier Product Group  Inc ","8-K","2019-10-01",1
1338929,"ECO TEK 360 INC","8-K","2019-03-06",1
1389067,"TAUTACHROME INC ","8-K","2019-01-11",1
1403570,"QUANTUM MATERIALS CORP ","8-K","2019-08-15",1
1419275,"GreenBox POS","8-K","2019-11-25",1
1434389,"UNIVERSAL SOLAR TECHNOLOGY  INC ","8-K","2019-04-24",1
1438231,"Digimarc CORP","8-K","2019-06-11",1
1469207,"Smartag International  Inc ","8-K","2019-03-06",1
1529113,"INPIXON","8-K","2019-11-15",1
1533030,"First Colombia Development Corp ","8-K","2019-07-01",1
1537528,"J E M  CAPITAL  INC ","8-K","2019-01-22",3
1575295,"Allied Corp ","8-K","2019-09-10",1
1619096,"Summit Networks Inc ","8-K","2019-04-11",2
1621199,"UNION BRIDGE HOLDINGS LTD ","8-K","2019-09-25",5
1632053,"Apotheca Biosciences  Inc ","8-K","2019-06-05",1
1639234,"China VTV Ltd","8-K","2019-10-03",1
1651932,"M101 CORP ","8-K","2019-10-15",1
1680966,"Agora Holdings  Inc ","8-K","2019-01-11",1
1702541,"RIVEX TECHNOLOGY CORP ","8-K","2019-08-13",11
1703073,"VIVIC CORP ","8-K","2019-12-31",1
1706509,"Cosmos Group Holdings Inc ","8-K","2019-07-19",2
1753648,"8i Enterprises Acquisition Corp ","8-K","2019-07-10",1
1766352,"CarrierEQ  Inc   DE","8-K","2019-12-17",3
51143,"INTERNATIONAL BUSINESS MACHINES CORP","8-K","2019-03-27",1
748268,"TimefireVR Inc ","8-K","2019-05-16",1
771999,"DOCUMENT SECURITY SYSTEMS INC","8-K","2019-08-07",2
836564,"PATRIOT SCIENTIFIC CORP","8-K","2019-04-15",1
837852,"IDEANOMICS  INC ","8-K","2019-03-11",3
862651,"Investview  Inc ","8-K","2019-12-04",1
908259,"MATEON THERAPEUTICS INC","8-K","2019-11-25",1
1086745,"DropCar  Inc ","8-K","2020-05-29",1
1352952,"CFN Enterprises Inc ","8-K","2020-04-07",3
1389518,"Tongji Healthcare Group  Inc ","8-K","2020-08-11",2
1415684,"MusclePharm Corp","8-K","2020-04-24",1
1442999,"ALTEROLA BIOTECH INC ","8-K","2020-12-08",1
1515139,"CurrencyWorks Inc ","8-K","2020-02-12",1
1519177,"SOLLENSYS CORP ","8-K","2020-08-11",1
